"(0, 'debris')","[0.5, 1.5, 4, 0.5, 1, 3, 1]"
"(0, 'demand')","[0.0, 0.0, 3.0, 3.0, 0.0]"
"(0, 'period')",1
"(0, 'resource')",0
"(0, 'supply')","[5, 0, 0, 0, 5]"
"(1, 'debris')","[0, 1.5, 4, 0.5, 1, 3, 1]"
"(1, 'demand')","[0.0, 0.0, 3.0, 3.0, 0.0]"
"(1, 'period')",1.0
"(1, 'resource')",0.5
"(1, 'supply')","[5, 0, 0, 0, 5]"
"(2, 'debris')","[0, 1.5, 0, 0.5, 1, 3, 1]"
"(2, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(2, 'period')",5.0
"(2, 'resource')",4.5
"(2, 'supply')","[1.0, 0, 0, 0, 5]"
"(3, 'debris')","[0, 1.5, 0, 0, 1, 3, 1]"
"(3, 'demand')","[0.0, 0.0, 0.0, 2.0, 0.0]"
"(3, 'period')",5.0
"(3, 'resource')",5.0
"(3, 'supply')","[0.0, 0, 0, 0, 5]"
"(4, 'debris')","[0, 1.5, 0, 0, 1, 0, 1]"
"(4, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(4, 'period')",8.0
"(4, 'resource')",8.0
"(4, 'supply')","[0.0, 0, 0, 0, 3.0]"
"(5, 'debris')","[0, 1.5, 0, 0.5, 1, 3, 0]"
"(5, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(5, 'period')",6.0
"(5, 'resource')",5.5
"(5, 'supply')","[1.0, 0, 0, 0, 3.0]"
"(6, 'debris')","[0.5, 0, 4, 0.5, 1, 3, 1]"
"(6, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(6, 'period')",2.0
"(6, 'resource')",1.5
"(6, 'supply')","[2.0, 0, 0, 0, 5]"
"(7, 'debris')","[0, 0, 4, 0.5, 1, 3, 1]"
"(7, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(7, 'period')",2.0
"(7, 'resource')",2.0
"(7, 'supply')","[2.0, 0, 0, 0, 5]"
"(8, 'debris')","[0, 0, 4, 0, 1, 3, 1]"
"(8, 'demand')","[0.0, 0.0, 0.0, 1.0, 0.0]"
"(8, 'period')",3.0
"(8, 'resource')",2.5
"(8, 'supply')","[0.0, 0, 0, 0, 5]"
"(9, 'debris')","[0, 0, 4, 0, 1, 0, 1]"
"(9, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(9, 'period')",6.0
"(9, 'resource')",5.5
"(9, 'supply')","[0.0, 0, 0, 0, 4.0]"
"(10, 'debris')","[0, 1.5, 4, 0.5, 1, 0, 1]"
"(10, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(10, 'period')",4.0
"(10, 'resource')",3.5
"(10, 'supply')","[5, 0, 0, 0, 4.0]"
"(11, 'debris')","[0, 1.5, 4, 0, 1, 0, 1]"
